Player Practice Stats, , , , , 
 , , , , , 
 , , , , , 
 , , , , , 
 Player Code   ,  Player Name,Match Number,Number of Wickets Taken ,,   Number of Runs 
 , , , , , 
45234,Maud Nicholson,M1,2, ,82
 , ,M3,3, ,71
 , ,M5,0, ,36
 , ,M6,1, ,76
 ,Total Player Runs, , , ,265
4578,Logan Thomas,M1,0, ,4
 , ,M3,1, ,38
 ,Player Runs Total, , , ,42
4545,Avaya Burris,M1,0, ,57
 , ,M3,0, ,76
 , ,M5,0, ,28
 ,Player Runs Total, , , ,161
4456,Marlie Stacey,M1,0, ,87
 , ,M3,4, ,58
 , ,M5,0, ,100
 ,Player Runs Total, , , ,245
4545,Onur Bateman,M1,0, ,21
 , , , , , 
4447,Lyle Mullen,M1,4, ,58
 , ,M3,4, ,38
 , ,M5,2, ,98
 ,Player Runs Total, , , ,194
23256,Lea Driscoll,M1,3, ,72
 , , , , , 
4564,Kaylee Pitt,M1,2, ,58
 , ,M3,2, ,82
 , ,M5,4, ,18
 , , , , , 
 , , , , , 
 , , , , , 
7456,Amayah Baxter,M1,2, ,33
 , ,M3,0, ,94
 , ,M5,4, ,89
 , ,M8,0, ,31
 ,Player Runs Total, , , ,247
 , , , , , 
 , , , , , 
45645,Dorothy Guerrero,M1,3, ,62
 , ,M3,1, ,6
 , ,M5,3, ,91
 , ,M7,2, ,68
 ,Player Runs Total, , , ,227
 , , , , , 
 , , , , , 
74854,Misty Dunne,M1,4, ,16
 , ,M3,3, ,57
 , ,M5,0, ,80
 ,Player Runs Total, , , ,153
564,Mikael Sutherland,M1,0, ,32
 , ,M2,2, ,48
 , ,M3,0, ,47
 ,Player Runs Total, , , ,127
7878,Nathaniel Gaines,M2,2, ,11
 , , , , , 
1454,Ameer Aldred,M1,2, ,57
 , ,M2,3, ,37
 , ,M3,2, ,1
 , ,M5,0, ,92
 ,Player Runs Total, , , ,187
4541,Eadie Mcdaniel,M1,1, ,61
 , ,M3,3, ,9
 ,Player Runs Total, , , ,70
4556,Shoaib Busby,M1,2, ,100
 , , , , , 
41451,Sadiyah Whitaker,M1,1, ,74
 , , , , , 
4556,Gurleen Edwards,M1,2, ,28
 , , , , , 
415,Lennox Roth,M1,4, ,77
 , , , , , 
 , , , , , 
444545,Haidar Mccormick,M1,1, ,3
 , ,M3,3, ,34
 , ,M5,0, ,51
 , , , , , 
4212121,Jarrad Ratliff,M1,0, ,58
 , , , , , 
7486748,Jade Dean,M1,4, ,7
 , ,M3,1, ,20
 , ,M5,0, ,25
 , , , , , 
4245,Pauline Norton,M1,2, ,77
 , , , , , 
7795,Euan Mcguire,M1,1, ,53
 , ,M3,2, ,15
 , , , , , 
122,May Wilkerson,M1,3, ,89
 , ,M3,4, ,54
 , , , , , 
212,Fannie Murray,M1,1, ,91
 , ,M3,1, ,68
 , , , , , 
7778,Frida Hancock,M1,3, ,45
 , ,M3,0, ,3
 , , , , , 
232323,Donovan Firth,M1,1, ,40
 , ,M3,4, ,58
 , ,M5,0, ,22
 , , , , , 
45656,Kristie Weiss,M1,0, ,69
 , ,M3,2, ,10
 , , , , , 
7878546,Benjamin Burns,M1,0, ,59
 , ,M3,3, ,62
 , , , , , 
